gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,,Random Sampling
female,group A,some college,standard,none,56,58,64,,0.010986362
female,group D,some high school,free/reduced,none,48,54,53,,0.22547553
female,group E,associate's degree,standard,none,100,100,100,,0.113938747
female,group C,some high school,free/reduced,completed,65,76,75,,0.819405962
male,group D,some college,standard,none,72,57,58,,0.71502332
female,group D,some college,standard,none,62,70,72,,0.326750746
male,group A,some high school,standard,completed,66,68,64,,0.862160129
male,group C,some college,standard,none,63,63,60,,0.513405642
female,group E,associate's degree,standard,none,68,76,67,,0.800278672
female,group B,bachelor's degree,standard,none,75,84,80,,0.772940782
female,group D,bachelor's degree,standard,none,89,100,100,,0.694189426
male,group C,some high school,standard,completed,78,72,69,,0.264884341
female,group A,high school,free/reduced,completed,53,50,60,,0.722704129
female,group D,some college,free/reduced,none,49,65,61,,0.454267106
female,group A,some college,standard,none,54,63,67,,0.905906358
female,group C,some college,standard,completed,64,82,77,,0.806370301
male,group B,some college,free/reduced,completed,60,62,60,,0.943603566
male,group C,associate's degree,standard,none,62,65,58,,0.555252929
male,group D,high school,standard,completed,55,41,48,,0.989888126
female,group C,associate's degree,standard,none,91,95,94,,0.15812675
female,group B,high school,free/reduced,none,8,24,23,,0.950174638
male,group D,some high school,standard,none,81,78,78,,0.60927907
male,group B,some high school,standard,completed,79,85,86,,0.48968673
female,group A,some college,standard,completed,78,87,91,,0.29858941
female,group C,some high school,standard,none,74,75,82,,0.725439618
male,group A,high school,standard,none,57,51,54,,0.470621404
female,group C,associate's degree,standard,none,40,59,51,,0.04596614
male,group E,some high school,standard,completed,81,75,76,,0.526344434
female,group A,some high school,free/reduced,none,44,45,45,,0.665451734
female,group D,some college,free/reduced,completed,67,86,83,,0.400268694
male,group E,high school,free/reduced,completed,86,81,75,,0.981007045
female,group B,some high school,standard,completed,65,82,78,,0.457974497
female,group D,associate's degree,free/reduced,none,55,76,76,,0.349466178
female,group D,bachelor's degree,free/reduced,none,62,72,74,,0.201630742
male,group A,high school,standard,none,63,63,62,,0.010000764
female,group E,master's degree,standard,completed,88,99,95,,0.673512775
male,group C,high school,free/reduced,none,62,55,55,,0.914042597
female,group C,high school,free/reduced,completed,59,71,65,,0.738654686
female,group D,some college,standard,completed,68,78,77,,0.597236127
female,group D,some college,free/reduced,none,77,86,86,,0.61873442
